areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
익산,익산(전북특별자치도 농업기술원),001,00122018001940, , , , ,107.8,14.4,342.7,1,6,0326,002,2018,2018-04-30,68,8,R32084,새누리,6,75
계화,계화(국립식량과학원),001,00122018001897, , , , ,83,12.9,308,1,6,0343,002,2018,2018-04-30,69,8,R32088,청호,6,75
예산,예산(충청남도 농업기술원),001,00122018001932, , , , ,99.3,13.4,318.9,1,6,0350,002,2018,2018-04-25,70,8,R32091,호품,6,75
익산,익산(전북특별자치도 농업기술원),001,00122018001939, , , , ,92.1,14.7,349.9,1,6,0326,002,2018,2018-04-30,71,8,R32091,호품,6,75
안동,안동(경상북도 농업기술원),001,00122018001955, , , , ,97.1,16.3,388.7,1,6,0351,002,2018,2018-04-20,72,8,R32093,새일미,6,75
화성,화성(경기도 경기도농업기술원),001,00122018001911, , , , ,110,19.8,471.4,1,6,0332,002,2018,2018-04-20,73,8,R33009,추청,6,75
청원,청원(충청북도 농업기술원),001,00122018001923, , , , ,86.1,17.2,409.4,1,6,2325,002,2018,2018-04-25,74,8,R33009,추청,6,75
예산,예산(충청남도 농업기술원),001,00122018001933, , , , ,108.7,19.2,457,1,6,0350,002,2018,2018-04-25,75,8,R33009,추청,6,75
나주,나주(전라남도 농업기술원),001,00122019002250,,,,,,,,1,,0352,002,2019,2019-05-10,1,3,R32006,일미벼,6,75
나주,나주(전라남도 농업기술원),001,00122019002251,,,,,,,,1,,0352,002,2019,2019-05-10,2,3,R32016,신동진,6,75
나주,나주(전라남도 농업기술원),001,00122019002253,,,,,,,,1,,0352,002,2019,2019-05-10,3,3,R32081,미품,6,75
나주,나주(전라남도 농업기술원),001,00122019002254,,,,,,,,1,,0352,002,2019,2019-05-10,4,3,R32092,현품,6,75
나주,나주(전라남도 농업기술원),001,00122019002252,,,,,,,,1,,0352,002,2019,2019-05-10,5,3,R46054,새청무,6,75
대구,대구(경상북도 농업기술원),001,00122019002255,,,,,,,,1,,0340,002,2019,2019-04-30,6,4,R22009,화영벼,6,75
대구,대구(경상북도 농업기술원),001,00122019002257,,,,,,,,1,,0340,002,2019,2019-04-30,7,4,R22083,삼덕,6,75
대구,대구(경상북도 농업기술원),001,00122019002256,,,,,,,,1,,0340,002,2019,2019-04-30,8,4,R32001,일품벼,6,75
대구,대구(경상북도 농업기술원),001,00122019002258,,,,,,,,1,,0340,002,2019,2019-04-30,9,4,R32082,삼광,6,75
대구,대구(경상북도 농업기술원),001,00122019002259,,,,,,,,1,,0340,002,2019,2019-04-30,10,4,R32093,새일미,6,75
진주,진주(경상남도 농업기술원),001,00122019002267,,,,,,,,1,,0335,002,2019,2019-05-10,11,6,R32008,동안벼,6,75
진주,진주(경상남도 농업기술원),001,00122019002268,,,,,,,,1,,0335,002,2019,2019-05-10,12,6,R32068,동진1호,6,75
진주,진주(경상남도 농업기술원),001,00122019002266,,,,,,,,1,,0335,002,2019,2019-05-10,13,6,R32093,새일미,6,75
진주,진주(경상남도 농업기술원),001,00122019002265,,,,,,,,1,,0335,002,2019,2019-05-10,14,6,R46055,해품,6,75
진주,진주(경상남도 농업기술원),001,00122019002269,,,,,,,,1,,0335,002,2019,2019-05-10,15,6,R46056,영호진미,6,75
철원,철원(국립식량과학원),001,00122019002200,,,,,,,,1,,0331,002,2019,2019-04-20,16,8,R12004,진부벼,6,75
운봉,운봉(국립식량과학원),001,00122019002209,,,,,,,,1,,0330,002,2019,2019-04-20,17,8,R12004,진부벼,6,75
진부,진부(국립식량과학원),001,00122019002271,,,,,,,,1,,0336,002,2019,2019-04-20,18,8,R12004,진부벼,6,75
상주,상주(국립식량과학원),001,00122019002213,,,,,,,,1,,0329,002,2019,2019-04-25,19,8,R12005,상주벼,6,75
제천,제천(충청북도 농업기술원),001,00122019002238,,,,,,,,1,,0337,002,2019,2019-04-20,20,8,R12005,상주벼,6,75
제천,제천(충청북도 농업기술원),001,00122019002237,,,,,,,,1,,0337,002,2019,2019-04-20,21,8,R12016,상미,6,75
운봉,운봉(국립식량과학원),001,00122019002210,,,,,,,,1,,0330,002,2019,2019-04-20,22,8,R12019,삼천벼,6,75
철원,철원(국립식량과학원),001,00122019002201,,,,,,,,1,,0331,002,2019,2019-04-20,23,8,R12072,태봉,6,75
